ano,mes,porto,tonelagem_t,n_atracacoes
2014,8,Manaus,414256,4921
2014,8,Santarém,152477,394
2014,9,Itacoatiara,138631,113
2014,9,Manaus,330508,5232
2014,9,Santarém,47085,353
2014,10,Itacoatiara,222599,151
2014,10,Itaituba,87399,48
2014,10,Manaus,398858,5810
2014,10,Santarém,78350,357
2014,11,Itacoatiara,285646,190
2014,11,Itaituba,102353,55
2014,11,Manaus,372131,5827
2014,11,Santarém,43110,276
2014,12,Itacoatiara,386795,200
2014,12,Itaituba,26629,15
2014,12,Manaus,362497,5824
2014,12,Santarém,122864,418
2015,1,Itacoatiara,304683,140
2015,1,Itaituba,6560,4
2015,1,Manaus,338849,4406
2015,1,Santarém,146186,363
2015,2,Itacoatiara,280537,150
2015,2,Itaituba,90833,48
2015,2,Manaus,358526,5404
2015,2,Santarém,114408,352
2015,3,Itacoatiara,456480,234
2015,3,Itaituba,140340,74
2015,3,Manaus,372363,5974
2015,3,Santarém,172242,394
2015,4,Itacoatiara,481064,254
2015,4,Itaituba,160035,84
2015,4,Manaus,313101,3886
2015,4,Santarém,240961,385
2015,5,Itacoatiara,426838,220
2015,5,Itaituba,200696,105
2015,5,Manaus,310395,3966
2015,5,Santarém,193460,358
2015,6,Itacoatiara,460006,238
2015,6,Itaituba,210576,110
2015,6,Manaus,300984,4009
2015,6,Santarém,211096,324
2015,7,Itacoatiara,469334,249
2015,7,Itaituba,147148,77
2015,7,Manaus,305696,3917
2015,7,Santarém,257127,425
2015,8,Itacoatiara,378070,211
2015,8,Itaituba,179418,94
2015,8,Manaus,303400,3320
2015,8,Santarém,280957,409
2015,9,Itacoatiara,195805,137
2015,9,Itaituba,161209,85
2015,9,Manaus,296518,3252
2015,9,Santarém,258814,395
2015,10,Itacoatiara,208421,164
2015,10,Itaituba,95811,55
2015,10,Manaus,313874,3480
2015,10,Santarém,186428,374
2015,11,Itacoatiara,360701,260
2015,11,Itaituba,82979,52
2015,11,Manaus,284531,4877
2015,11,Santarém,227040,330
2015,12,Itacoatiara,502182,275
2015,12,Itaituba,72688,44
2015,12,Manaus,311875,5190
2015,12,Santarém,236633,365
2016,1,Itacoatiara,503624,269
2016,1,Itaituba,179077,99
2016,1,Manaus,256822,3971
2016,1,Santarém,264424,355
2016,2,Itacoatiara,492389,252
2016,2,Itaituba,164545,87
2016,2,Manaus,255752,4496
2016,2,Santarém,255112,333
2016,3,Itacoatiara,964960,330
2016,3,Itaituba,174775,92
2016,3,Manaus,305057,5693
2016,3,Santarém,310375,384
2016,4,Itacoatiara,486099,263
2016,4,Itaituba,266274,140
2016,4,Manaus,256844,4998
2016,4,Santarém,325931,366
2016,5,Itacoatiara,475375,268
2016,5,Itaituba,280319,147
2016,5,Manaus,266886,5480
2016,5,Santarém,349914,361
2016,6,Itacoatiara,446007,255
2016,6,Itaituba,202967,107
2016,6,Manaus,295790,5245
2016,6,Santarém,283484,354
2016,7,Itacoatiara,363734,243
2016,7,Itaituba,136498,72
2016,7,Manaus,302710,5444
2016,7,Santarém,238344,365
2016,8,Itacoatiara,266084,204
2016,8,Itaituba,136085,72
2016,8,Manaus,283546,5333
2016,8,Santarém,200381,353
2016,9,Itacoatiara,91384,83
2016,9,Itaituba,112657,32
2016,9,Manaus,278954,5149
2016,9,Santarém,45339,245
2016,10,Itacoatiara,204457,160
2016,10,Itaituba,15549,1
2016,10,Manaus,298435,5335
2016,10,Santarém,42476,261
2016,11,Itacoatiara,252871,183
2016,11,Manaus,339002,5713
2016,11,Santarém,37109,250
2016,12,Itacoatiara,269029,154
2016,12,Manaus,337986,6067
2016,12,Santarém,45033,284
2017,1,Itacoatiara,252666,145
2017,1,Itaituba,175052,50
2017,1,Manaus,363677,4777
2017,1,Santarém,170113,357
2017,2,Itacoatiara,440696,244
2017,2,Itaituba,218885,61
2017,2,Manaus,324992,4781
2017,2,Santarém,357338,403
2017,3,Itacoatiara,558425,297
2017,3,Itaituba,279213,94
2017,3,Manaus,443301,5248
2017,3,Santarém,366098,421
2017,4,Itacoatiara,476254,251
2017,4,Itaituba,439916,127
2017,4,Manaus,442850,5142
2017,4,Santarém,382897,404
2017,5,Itacoatiara,500557,245
2017,5,Itaituba,523189,153
2017,5,Manaus,286655,5417
2017,5,Santarém,323855,381
2017,6,Itacoatiara,593307,276
2017,6,Itaituba,377671,109
2017,6,Manaus,315682,5323
2017,6,Santarém,307511,370
2017,7,Itacoatiara,607104,309
2017,7,Itaituba,345123,92
2017,7,Manaus,328736,5269
2017,7,Santarém,419695,480
2017,8,Itacoatiara,410539,257
2017,8,Itaituba,551093,140
2017,8,Manaus,310934,5376
2017,8,Santarém,356342,448
2017,9,Itacoatiara,236904,149
2017,9,Itaituba,562185,185
2017,9,Manaus,327878,5237
2017,9,Santarém,367432,429
2017,10,Itacoatiara,379083,270
2017,10,Itaituba,442854,138
2017,10,Juruti,72,2
2017,10,Manaus,406997,5777
2017,10,Santarém,192674,366
2017,11,Itacoatiara,435454,246
