data,vazao_m3s
2022-12-24,20293
2022-12-25,20097.6
2022-12-26,19958.8
2022-12-27,19820.6
2022-12-28,19793.1
2022-12-29,19546.2
2022-12-30,19328.6
2022-12-31,19112.5
2023-01-01,18871.4
2023-01-02,18658.7
2023-01-03,18447.7
2023-01-04,18290.5
2023-01-05,18082.2
2023-01-06,17978.7
2023-01-07,17824.2
2023-01-08,17696.1
2023-01-09,17747.2
2023-01-10,17568.6
2023-01-11,17619.5
2023-01-12,17670.5
2023-01-13,17747.2
2023-01-14,17849.9
2023-01-15,18004.6
2023-01-16,18160.1
2023-01-17,18395.2
2023-01-18,18738.3
2023-01-19,19005.1
2023-01-20,19301.5
2023-01-21,19600.9
2023-01-22,19931.1
2023-01-23,20265
2023-01-24,20574.3
2023-01-25,20886.7
2023-01-26,21173.5
2023-01-27,21462.9
2023-01-28,21725.6
2023-01-29,22020
2023-01-30,22257.4
2023-01-31,22466.5
2023-02-01,22616.7
2023-02-02,22737.3
2023-02-03,22858.4
2023-02-04,22919
2023-02-05,23071.2
2023-02-06,23132.3
2023-02-07,23132.3
2023-02-08,23132.3
2023-02-09,23132.3
2023-02-10,23132.3
2023-02-11,23101.7
2023-02-12,23101.7
2023-02-13,23071.2
2023-02-14,23071.2
2023-02-15,23132.3
2023-02-16,23132.3
2023-02-17,23193.5
2023-02-18,23254.7
2023-02-19,23316.1
2023-02-20,23408.4
2023-02-21,23593.7
2023-02-22,23811.1
2023-02-23,23998.5
2023-02-24,24218.4
2023-02-25,24471.3
2023-02-26,24726
2023-02-27,25046.8
2023-02-28,25370.4
2023-03-01,25729.6
2023-03-02,26026
2023-03-03,26357.9
2023-03-04,26692.7
2023-03-05,27030.3
2023-03-06,27336.5
2023-03-07,27645.1
2023-03-08,27956
2023-03-09,28234.3
2023-03-10,28479.3
2023-03-11,28831.7
2023-03-12,29187.1
2023-03-13,29473.5
2023-03-14,29617.4
2023-03-15,29725.6
2023-03-16,29834.1
2023-03-17,29906.5
2023-03-18,30051.8
2023-03-19,30088.2
2023-03-20,30124.7
2023-03-21,30161.1
2023-03-22,30234.1
2023-03-23,30270.7
2023-03-24,30343.8
2023-03-25,30417.1
2023-03-26,30490.5
2023-03-27,30527.3
2023-03-28,30600.9
2023-03-29,30637.7
2023-03-30,30674.6
2023-03-31,30674.6
2023-04-01,30711.5
2023-04-02,30785.4
2023-04-03,30785.4
2023-04-04,30785.4
2023-04-05,30785.4
2023-04-06,30785.4
2023-04-07,30785.4
2023-04-08,30859.4
2023-04-09,30933.5
2023-04-10,31044.9
2023-04-11,31119.3
2023-04-12,31119.3
2023-04-13,31268.5
2023-04-14,31305.9
2023-04-15,31418.2
2023-04-16,31643.6
2023-04-17,31832.2
2023-04-18,31945.8
2023-04-19,32097.6
2023-04-20,32211.8
2023-04-21,32364.5
2023-04-22,32517.6
2023-04-23,32825.3
2023-04-24,33018.6
2023-04-25,33173.8
2023-04-26,33329.5
2023-04-27,33524.8
2023-04-28,33760.2
2023-04-29,33996.6
2023-04-30,34194.5
2023-05-01,34472.8
2023-05-02,34752.7
2023-05-03,35034
2023-05-04,35316.9
2023-05-05,35519.8
2023-05-06,35805.3
2023-05-07,36051.2
2023-05-08,36257
2023-05-09,36463.5
2023-05-10,36712.4
2023-05-11,36837.3
2023-05-12,37046
2023-05-13,37129.8
2023-05-14,37213.6
2023-05-15,37381.7
2023-05-16,37677
2023-05-17,37804.1
2023-05-18,37973.9
2023-05-19,38144.3
2023-05-20,38272.4
2023-05-21,38443.6
2023-05-22,38658.4
2023-05-23,38960.4
2023-05-24,39264
2023-05-25,39481.8
2023-05-26,39700.4
2023-05-27,39963.8
2023-05-28,40228.3
2023-05-29,40449.7
2023-05-30,40671.9
2023-05-31,40894.9
2023-06-01,41163.5
2023-06-02,41343.3
2023-06-03,41523.5
2023-06-04,41749.6
2023-06-05,41976.5
2023-06-06,42158.6
2023-06-07,42295.6
2023-06-08,42432.8
2023-06-09,42570.3
2023-06-10,42662.1
2023-06-11,42754.1
2023-06-12,42754.1
2023-06-13,42754.1
2023-06-14,42892.3
2023-06-15,42938.5
2023-06-16,42846.2
2023-06-17,42754.1
2023-06-18,42662.1
2023-06-19,42616.2
2023-06-20,42524.4
2023-06-21,42387
2023-06-22,42295.6
2023-06-23,42204.2
2023-06-24,42113.1
2023-06-25,41976.5
2023-06-26,41840.3
2023-06-27,41704.3
2023-06-28,41523.5
