data,vazao_m3s
2016-08-24,23493.9
2016-08-25,22834.9
2016-08-26,22235.3
2016-08-27,21741.9
2016-08-28,21351.5
2016-08-29,21109.3
2016-08-30,20868.6
2016-08-31,20486.4
2016-09-01,20060.9
2016-09-02,19640.1
2016-09-03,18949.1
2016-09-04,18585.9
2016-09-05,18047.9
2016-09-06,17562.1
2016-09-07,17040
2016-09-08,16611.2
2016-09-09,16146.1
2016-09-10,15688
2016-09-11,15318.2
2016-09-12,15033.9
2016-09-13,14781.7
2016-09-14,14655.1
2016-09-15,14655.1
2016-09-16,14866.3
2016-09-17,15114.8
2016-09-18,15400
2016-09-19,15770.7
2016-09-20,16020.5
2016-09-21,16188.1
2016-09-22,16272.3
2016-09-23,16272.3
2016-09-24,16146.1
2016-09-25,15895.3
2016-09-26,15564.2
2016-09-27,15236.7
2016-09-28,14908.6
2016-09-29,14612.9
2016-09-30,14402.4
2016-10-01,14192.6
2016-10-02,14150.7
2016-10-03,14108.8
2016-10-04,14066.9
2016-10-05,13983.3
2016-10-06,13941.6
2016-10-07,13983.3
2016-10-08,14025.1
2016-10-09,14025.1
2016-10-10,14066.9
2016-10-11,14150.7
2016-10-12,14318.4
2016-10-13,14570.8
2016-10-14,14908.6
2016-10-15,15196
2016-10-16,15523.1
2016-10-17,15688
2016-10-18,15853.8
2016-10-19,15853.8
2016-10-20,15812.2
2016-10-21,15688
2016-10-22,15482
2016-10-23,15155.4
2016-10-24,14824
2016-10-25,14486.5
2016-10-26,14234.5
2016-10-27,14108.8
2016-10-28,13983.3
2016-10-29,13816.4
2016-10-30,13899.8
2016-10-31,14150.7
2016-11-01,14318.4
2016-11-02,14444.5
2016-11-03,14570.8
2016-11-04,14739.5
2016-11-05,14697.3
2016-11-06,14360.4
2016-11-07,14108.8
2016-11-08,14150.7
2016-11-09,14276.4
2016-11-10,14402.4
2016-11-11,14402.4
2016-11-12,14192.6
2016-11-13,13858.1
2016-11-14,13525.3
2016-11-15,13194.1
2016-11-16,12864.6
2016-11-17,12577.7
2016-11-18,12332.8
2016-11-19,11644.4
2016-11-20,11283.2
2016-11-21,10964.1
2016-11-22,10646.9
2016-11-23,10331.6
2016-11-24,10018.2
2016-11-25,9979.22
2016-11-26,10018.2
2016-11-27,10331.6
2016-11-28,10964.1
2016-11-29,11805.6
2016-11-30,12659.5
2016-12-01,13235.4
2016-12-02,13442.3
2016-12-03,13483.8
2016-12-04,13359.5
2016-12-05,13111.5
2016-12-06,12905.7
2016-12-07,12741.4
2016-12-08,12577.7
2016-12-09,12455.1
2016-12-10,12210.7
2016-12-11,12048.3
2016-12-12,11926.8
2016-12-13,11644.4
2016-12-14,11604.1
2016-12-15,11724.9
2016-12-16,12088.9
2016-12-17,12495.9
2016-12-18,12987.9
2016-12-19,13649.9
2016-12-20,14066.9
2016-12-21,14655.1
2016-12-22,15074.3
2016-12-23,15523.1
2016-12-24,16020.5
2016-12-25,16739.2
2016-12-26,17605.9
2016-12-27,18495.6
2016-12-28,19362.1
2016-12-29,20155.1
2016-12-30,20486.4
2016-12-31,20868.6
2017-01-01,21012.8
2017-01-02,21206
2017-01-03,21302.9
2017-01-04,21741.9
2017-01-05,22235.3
2017-01-06,22584
